"id","kob_name","companyname","premiseaddress","licenseno","licensecategoryname","licenseactive","created_at","updated_at","_source"
"172500","Food Services - Food Vending Establishment","CHETTINAD PUBLIC SCHOOL","70E, MADURAI MAIN ROAD, MANAGIRI,KALLAL BLOCK","12415019000138","State License","Active","2023-03-26T19:22:09.401011+02:00","2024-09-18T16:10:23.938859+02:00","fssai"
"259019","Indian Railways - Club_Canteen","CRESCENT CASTLE PUBLIC SCHOOL","D.NO-59/B1,COONOOR ROAD, UDHAGAMANDALAM.","12422021000440","State License","Active","2023-03-31T14:12:35.296698+02:00","2024-09-18T17:57:18.948869+02:00","fssai"
"1217783","Konkan Railway - Caterer","SHREE SWAMI SAMARTH VIDYANIKETAN SANCHALIT K R PUBLIC SCHOOL","SARVE NO. 402/2/115B/114B/116, PRATIBHA NAGAR, CHAOUPALE SHIVAR, DHULE ROAD, NANDURBAR TAL-DIST-NANDURBAR 425412 (7755909354)","11519030000039","State License","Active","2023-03-31T22:35:16.15491+02:00","2024-09-18T19:17:29.809669+02:00","fssai"
"5723218","Konkan Railway - Club_Canteen","Delhi Public School ( A Unit Of Jagran Social Welfare Society)","DPS Kolar Road Bhopal Campus, Bairagarh Chichli Kolar Road Bhopal","11419010000396","State License","Active","2023-03-31T22:50:47.178428+02:00","2024-09-18T19:20:07.509932+02:00","fssai"
"353434019","Food Services - Restaurants","M/S. HOTEL PUBLIC HOUSE RESTAURANT. PROP. M/R.SHRIKANT RAMCHANDRA SURYAWANSHI.","AT. MALMATTA NO. 1371, GADEGAON TAH-LAKHANI","11524058000106","State License","Active","2024-09-11T15:38:43.144784+02:00","2024-09-18T16:04:47.575137+02:00","fssai"
"188134","Indian Railways - Club_Canteen","SATYA PRAKASH PUBLIC SCHOOL","POLIPATHAR, JABALPUR","11421170000249","State License","Active","2023-03-31T14:12:31.540161+02:00","2024-09-18T17:57:22.204551+02:00","fssai"
"200169","Food Services - Club_Canteen","THE INDIAN PUBLIC SCHOOL","SF.NO.118, 30, KARAIPUDUR VILLAGE,ARULPURAM,PALLADAM (TK)","12417027000633","State License","Active","2023-03-27T07:58:42.497491+02:00","2024-09-18T16:13:46.90277+02:00","fssai"
"287278609","Konkan Railway - Club_Canteen","M/S. DELHI PUBLIC SCHOOL GAYA","DUBHAL, PO- CHAND CHAURA, PS- MAGADH MEDICAL","10424200000143","State License","Active","2024-07-17T18:19:46.971571+02:00","2024-09-18T19:20:04.516957+02:00","fssai"
"217738","Food Services - Club_Canteen","ORIENTAL PUBLIC SCHOOL ","AT-TEGHARI KISHANGANJ ","10423370000021","State License","Active","2023-03-27T08:48:48.941869+02:00","2024-09-18T16:13:54.436494+02:00","fssai"
"331808155","Konkan Railway - Club_Canteen","M/s SHIVANI PUBLIC SCHOOL, GIRIGANI RAHUL VARMA","GIRIGANI RAHUL VARMA, SHIVANI PUBLIC SCHOOL, LAKNEPALLY, NARSAMPET, WARANGAL, 506330","13624004000191","State License","Active","2024-08-21T18:29:53.891648+02:00","2024-09-18T19:20:07.509932+02:00","fssai"
"145346887","Airport_Seaport - Retailer","SRI CHIDRUPA PRODUCTS SERVICES PUBLICATIONS PRIVATE LIMITED","H NO 2-1-563/14, OPP TO SHANKERMUTT, TEMPLE ,NALLAKUNTA ,","13624999000175","Central License","Active","2024-03-27T16:38:05.624172+01:00","2024-09-18T17:10:37.944621+02:00","fssai"
"219954","Indian Railways - Club_Canteen","BISHNUPUR PUBLIC INSTITUTE OF MEDICAL SCIENCE HOSPITAL UNIT- I","VILL-SIROMONIPUR,P.O.+P.S.-BISHNUPUR,DIST-BANKURA","12823029000058","State License","Active","2023-06-01T23:08:18.356664+02:00","2024-09-18T17:57:33.043709+02:00","fssai"
"402930","Konkan Railway - Club_Canteen","AVATAR MEHER BABA PERPETUAL PUBLIC CHARITABLE TRUST","GAT NO 477 ,Arangaon, Meherabad","11523032000151","State License","Active","2023-05-31T05:43:42.357648+02:00","2024-09-18T19:19:57.895774+02:00","fssai"
"114727636","Konkan Railway - Club_Canteen","SREE GOKULAM PUBLIC SCHOOL MESS","SREE GOKULM PUBLIC SCHOOL MESS,NEAR VALAYANAD DEVI TEMPLE,KOMMERI(PO)","11324011000345","State License","Active","2024-02-28T18:31:43.104255+01:00","2024-09-18T19:19:52.89051+02:00","fssai"
"284847","Indian Railways - Caterer","STANDARD PUBLIC SCHOOL (A UNIT OF SHUBH LAXMI EDUCATIONAL SOCIETY)","KHANDWA ROAD OPP. BILAWALI TANK INDORE","11414850003031","State License","Active","2023-03-31T18:12:06.54811+02:00","2024-09-18T17:33:14.445671+02:00","fssai"
"270275","Konkan Railway - Club_Canteen","DELHI PUBLIC SCHOOL (A UNIT OFJAGRAN SOCIAL WELFARE SOCIETY)","NEAR NEELBAD CROSSING BHADBHADA ROAD BHOPAL","11419010000397","State License","Active","2023-03-31T22:50:47.188417+02:00","2024-09-18T19:19:57.58352+02:00","fssai"
"350110037","Konkan Railway - Restaurants","M/S THE PUBLIC HOUSE CAFE & HOOKAH LOUNGE","G-4, GROUND FLOOR, ANGEL MEGA MALL, KAUSHAMBI GHAZIABAD","12724052000711","State License","Active","2024-09-04T20:48:11.534484+02:00","2024-09-18T19:32:51.214145+02:00","fssai"
"281386","Food Services - Club_Canteen","Dalhousie Public School Educational Society","Dalhousie Public School Siswaan, ","12122801000253","State License","Active","2023-03-27T07:17:38.323674+02:00","2024-09-18T16:13:43.240835+02:00","fssai"
"145348319","Airport_Seaport - Retailer","M/S SHIKHAR PUBLIC SERVICES","851MIN RAJENDRA NAGAR NEAR NAVEEN SABJI MANDI NAWABGANJ","12724022000042","State License","Active","2024-03-27T16:38:07.146148+01:00","2024-09-18T17:10:40.341732+02:00","fssai"
"6026250","Konkan Railway - Caterer","VILE PARLE MEDICAL CLUB PUBLIC HEALTH TRUST","VILE PARLE MEDICAL CLUB PUBLIC HEALTH TRUST, SANT DYANESHWAR ROAD, NEAR PVR CHANDAN CINEMA, JUHU, VILE PARLE (W), MUMBAI-400049","11519006000596","State License","Active","2023-03-31T22:36:16.300678+02:00","2024-09-18T19:17:53.045371+02:00","fssai"
"384163","Trade_Retail - Retailer","ADWALL OUTDOOR PUBLICITY ","1ST FLOOR,SHOP NO- 141, CRYSTAL COMPLEX, M G ROAD, CHITAKHANA CHOWK, JUNAGADH","10721999001226","Central License","Active","2023-03-31T13:16:04.485168+02:00","2024-11-06T15:59:36.926844+01:00","fssai"
"88527","Konkan Railway - Club_Canteen","BISHNUPUR PUBLIC INSTITUTE OF MEDICAL SCIENCE HOSPITAL UNIT- I","VILL-SIROMONIPUR,P.O.+P.S.-BISHNUPUR,DIST-BANKURA","12823029000058","State License","Active","2023-06-02T05:04:34.643319+02:00","2024-09-18T19:20:01.455346+02:00","fssai"
"143100202","Trade_Retail - Retailer","SRI CHIDRUPA PRODUCTS SERVICES PUBLICATIONS PRIVATE LIMITED","H NO 2-1-563/14, OPP TO SHANKERMUTT, TEMPLE ,NALLAKUNTA ,","13624999000175","Central License","Active","2024-03-27T15:28:48.533098+01:00","2024-11-06T16:06:53.321099+01:00","fssai"
"259309567","Central Govt Agencies - Wholesaler","V ENTERPRISES/ VEERENDRA KUMAR  S GROUND FLOOR 225/223/13/1/13/2/A1 SRI KRISHNA KRUPA MARALUBAGILU MAIN ROAD SHREENIKETHAN PUBLIC SCHOOL MARALABAGILU MARALABAGAL ROAD DEVANAHALLI BANGALORE RURAL","GROUND FLOOR 225/223/13/1/13/2/A1 SRI KRISHNA KRUPA MARALUBAGILU MAIN ROAD SHREENIKETHAN PUBLIC SCHOOL MARALABAGILU MARALBAGAL ROAD DEVANAHALLI BANGALORE RURAL","11224303000371","State License","Active","2024-06-26T20:03:25.740187+02:00","2024-09-18T18:23:44.552671+02:00","fssai"
"123545798","Konkan Railway - Food Vending Establishment","M/S.PURTI PUBLIC SCHOOL NIVASI SHALA VASTIGRUH","NEAR VAISHNAVI PETROL PUMP, AT. TA. SALEKASA","11524065000063","State License","Active","2024-03-06T18:35:42.731808+01:00","2024-09-18T19:36:10.407384+02:00","fssai"
"6577406","Trade_Retail - Retailer","M/s PUBLIC MEDICAL STORE Proprietor Khalid Mirza S/o Sri Mohammad Mirza ","Ashfaqullah Colony Subhash Nagar Faizabad Ayodhya 224001","12723020000070","State License","Active","2023-03-31T13:54:26.643251+02:00","2024-11-06T16:06:42.940799+01:00","fssai"
"379537","Food Services - Restaurants","GLOBE PHARMA PUBLICATIONS PRIVATE LIMTED (CHICAGO PIZZA)","SHOP NO 6 & 7, NEW SHANTI VAN CHSL., PLOT NO 70, NEW LINK ROAD, ANDHERI WEST,  ","11521006000176","State License","Active","2023-03-20T20:05:13.635511+01:00","2024-09-18T16:00:58.685922+02:00","fssai"
"418653","Konkan Railway - Club_Canteen","CHENNAI PUBLIC SCHOOL (KUPIDISAATHAM NARAYANASWAMI EDUCATIONAL TRUST)","T.V.S.AVENUE MAIN ROAD,ANNA NAGAR WEST EXTN,CHENNAI-101","12418023000804","State License","Active","2023-03-31T22:47:45.855712+02:00","2024-09-18T19:20:04.516957+02:00","fssai"
"483194","Konkan Railway - Club_Canteen","HOSUR PUBLIC SCHOOL","RAYAKOTTAI HIGHWAYS, KARAPALLI, HOSUR.","12422011000579","State License","Active","2023-03-31T22:54:31.758891+02:00","2024-09-18T19:20:06.285907+02:00","fssai"
"6038345","Food Services - Club_Canteen","SHRI GURUDATTA SHIKSHAN SANTHA SANCHLIT MA SHARAD PAWAR PUBLIC SCHOOL VASTIGRUH & MESS ","CANTEEN PREMICES OF SHRI GURUDATTA SHIIKSHAN SANSTHA GAT NO.- 181 , 220/1/2 , 274/1/A/B, 275 , DATTA BHUMI , AT - MANUR , POST - KALWAN , TALUKA -KALWAN , DIST.- NASHIK","11523029000354","State License","Active","2023-08-12T21:18:00.581681+02:00","2024-09-18T16:14:18.639185+02:00","fssai"
"448963","Konkan Railway - Food Vending Establishment","SLOPELAND PUBLIC SCHOOL","SALT VILLAGE, KHONGJOM","11621007000008","State License","Active","2023-03-31T18:59:54.237752+02:00","2024-09-18T19:35:21.948542+02:00","fssai"
"464337","Konkan Railway - Club_Canteen","THE INDIAN PUBLIC SCHOOL PVT LTD`","PLOT NO.44&53, DEVELOPED PLOTS, INDUSTRIAL ESTATE, PERUNGUDI","12421008003698","State License","Active","2023-03-31T22:53:52.351395+02:00","2024-09-18T19:19:59.874538+02:00","fssai"
"48200229","Konkan Railway - Club_Canteen","JAYANTHI PUBLIC SENIOR SECONDARY SCHOOL","SF.NO. 66/2A, JAYANTHI GARDEN, ARULPURAM, KARAIPUDUR VILLAGE, PALLADAM (TK), TIRUPUR","12423027001288","State License","Active","2024-01-03T18:53:52.029084+01:00","2024-09-18T19:19:48.587198+02:00","fssai"
"438452","Konkan Railway - Club_Canteen","INDIAN PUBLIC SCHOOL PVT.LTD","193, SATHY ROAD, S.S.KULAM (PO), COIMBATORE 641107","12421003000514","State License","Active","2023-03-31T22:53:17.251012+02:00","2024-09-18T19:19:28.417517+02:00","fssai"
"97960932","Konkan Railway - Club_Canteen","M E T PUBLIC SCHOOL ","M E T PUBLIC SCHOOL , KALLACHI(PO), NADAPURAM, VATAKARA","11324011000209","State License","Active","2024-02-14T18:36:20.571118+01:00","2024-09-18T19:19:50.783811+02:00","fssai"
"143101633","Trade_Retail - Retailer","M/S SHIKHAR PUBLIC SERVICES","851MIN RAJENDRA NAGAR NEAR NAVEEN SABJI MANDI NAWABGANJ","12724022000042","State License","Active","2024-03-27T15:28:49.856382+01:00","2024-11-06T16:06:56.372672+01:00","fssai"
"490861","Food Services - Club_Canteen","LUCKNOW PUBLIC SCHOOL MESS AND CANTEEN","L R P CHAURAHA GOLA ROAD LAKHIMPUR","12718068000118","State License","Active","2023-03-27T05:16:30.795911+02:00","2024-09-18T16:13:54.436494+02:00","fssai"
"489051","Indian Railways - Club_Canteen","K M C PUBLIC SENIOR SECONDARY SCHOOL","TIRUPPUR ROAD, PERUMANALLUR, TIRUPPUR","12422027001366","State License","Active","2023-03-31T14:11:37.628398+02:00","2024-09-18T17:57:16.522896+02:00","fssai"
"335563376","Food Services - Mid-Day meal - Canteen","RAVINDRA PUBLIC SCHOOL SANSTHAN JHUNJHUNU","WARD NO 11, KISSAN COLONY","12224031000180","State License","Active","2024-08-28T15:47:37.774773+02:00","2024-09-18T16:08:55.491725+02:00","fssai"
"528978","Food Services - Club_Canteen","NATIONAL PUBLIC SCHOOL /NOBLE FRIENDS FOUNDATION","AIRPORT ROAD OPPOSITE BIJASAN TEMPLE","11423850000960","State License","Active","2023-09-23T15:37:54.414552+02:00","2024-09-18T16:14:13.631751+02:00","fssai"
"177876780","Food Services - Club_Canteen","Bhandari Public School","Bhandari Public School, Sihada Road","11424950000075","State License","Active","2024-04-24T15:56:10.033959+02:00","2024-09-18T16:14:08.51584+02:00","fssai"
"572088","Indian Railways - Club_Canteen","Gedee Public School","634/2, Eachanari - Chettipalayam Road, Eachanari PO (B.O), Coimbatore - 641021","12418003001363","State License","Active","2023-03-31T14:12:39.367437+02:00","2024-09-18T17:57:05.333232+02:00","fssai"
"299862673","Food Services - Mid-Day meal - Canteen","THE HYDERABAD PUBLIC SCHOOL, KADAPA ( M.M.A . FIAZ KHAN)","Opp. RIMS, PUTTAMPALLI","10124011000177","State License","Active","2024-07-31T15:46:45.442551+02:00","2024-09-18T16:08:55.076261+02:00","fssai"
"596036","Konkan Railway - Club_Canteen","BRINDAVAN PUBLIC SCHOOL","D.NO-90 A&B, WELLIGTON BAZAAR POST, COONOOR.","12422021000204","State License","Active","2023-03-31T22:53:43.550886+02:00","2024-09-18T19:19:59.123806+02:00","fssai"
"7519190","Trade_Retail - Retailer","M/S BANARASI DAS PRAMOD KUMAR PROP- PRAMOD KUMAR JAIN S/O BANARASI DAS JAIN R/O NEAR HOLY PUBLIC SCHOOL SIKANDRA AGRA","NEAR FCI GODOWN G T ROAD ETAH","12721059000007","State License","Active","2023-03-31T13:32:52.871201+02:00","2024-11-06T16:00:25.693766+01:00","fssai"
"605577","Food Services - Caterer","STANDARD PUBLIC SCHOOL (A UNIT OF SHUBH LAXMI EDUCATIONAL SOCIETY)","KHANDWA ROAD OPP. BILAWALI TANK INDORE","11414850003031","State License","Active","2023-03-26T15:35:25.127259+02:00","2024-09-18T16:08:43.23455+02:00","fssai"
"3397357","Airport_Seaport - Wholesaler","M/s S.M Traders(Prop Sahil Mahajan S/o Sh Parveen Kumar Gupta R/o 125, Lane 10, Adarsh Vihar, Near Jodhamal Public School, Sainik Colony)","Ext 24-A Nehru Market","11022150000424","State License","Active","2023-03-31T12:28:46.667025+02:00","2024-09-18T16:29:10.757808+02:00","fssai"
"7685400","Central Govt Agencies - Retailer","MS. CHETNA SAHAY / COEVAL PUBLICATIONS PRIVATE LIMITED (ICE-CREAM PARLOR)","SHOP NO.16 SHREE RAMKRISHNA CO-OPERATIVE HOUSING SOCIETY LIMITED, SITUATED ON PLOT NO-46/47 AT SECTOR-40, SEAWOODS-WEST, NERUL, NAVI MUMBAI, 400706","11519017000038","State License","Active","2023-03-31T21:22:31.464981+02:00","2024-09-18T19:02:47.166464+02:00","fssai"
"643015","Trade_Retail - Retailer","LOVI ADVERTISING & PUBLICITY PRIVATE LIMITED","SHOP NO-GROUND FLOOR-55, NORTH GATE MALL, ORBIT PLAZA, GUJRANWALA TOWN NEW DELHI","13315002000659","State License","Active","2023-03-31T11:37:44.223395+02:00","2024-11-06T15:53:19.191049+01:00","fssai"
"633056","Konkan Railway - Food Vending Establishment","BHASHYAM PUBLIC SCHOOL - BHASHYAM  RAMA  KRISHNA","Asst. No1021137176, Gorantla, Guntur","10121007000072","State License","Active","2023-03-31T19:06:09.572043+02:00","2024-09-18T19:35:45.471227+02:00","fssai"
"637335","Trade_Retail - Retailer","BRIJ PUBLICITY & ADVERTISING PVT.LTD.","GF-110,111,170,171, South Court Mall, Saket","13315008000567","State License","Active","2023-03-31T11:37:38.551881+02:00","2024-11-06T15:53:18.53274+01:00","fssai"
"4837583","Indian Railways - Food Vending Establishment","BHASHYAM PUBLIC SCHOOL - BHASHYAM  RAMA  KRISHNA","Asst. No1021137176, Gorantla, Guntur","10121007000072","State License","Active","2023-03-31T14:02:04.892141+02:00","2024-09-18T17:40:16.519955+02:00","fssai"
"169884","Food Services - Caterer","VILE PARLE MEDICAL CLUB PUBLIC HEALTH TRUST","VILE PARLE MEDICAL CLUB PUBLIC HEALTH TRUST, SANT DYANESHWAR ROAD, NEAR PVR CHANDAN CINEMA, JUHU, VILE PARLE (W), MUMBAI-400049","11519006000596","State License","Active","2023-03-26T10:49:42.80928+02:00","2024-09-18T16:08:42.711494+02:00","fssai"
"670915","Manufacturer -  General Manufacturing","V5 PUBLICATIONS PRIVATE LIMITED ","No.17 B-2, 17 B-3, 17 B-4 WARD No.4, YELAHANAKA NEW TOWN , BANGALORE","11222331001662","State License","Active","2023-03-18T03:27:35.232856+01:00","2023-04-08T18:28:55.535054+02:00","fssai"
"681750","Airport_Seaport - Retailer","M/S PADMAVATI AGENCIES PROP- PRASHANT JAIN S/O PRAMOD KUMAR JAIN R/O NEAR HOLY PUBLIC SCHOOL SIKANDRA AGRA","NEAR FCI GODOWN G T ROAD ETAH","12721059000008","State License","Active","2023-03-31T15:37:08.913312+02:00","2024-09-18T17:05:40.833414+02:00","fssai"
"717921","Food Services - Caterer","HOSUR PUBLIC SCHOOL","RAYAKOTTAI HIGHWAYS, KARAPALLI, HOSUR.","12422011000579","State License","Active","2023-03-26T16:10:11.286413+02:00","2024-09-18T16:08:40.553417+02:00","fssai"
"754964","Indian Railways - Restaurants","THE PUBLIC HOUSE ","MAHADEV COMMERCIAL COMPLEX LOWER GROUND  FLOOR OPP. BOARD OFFICE SHIVAJI NAGAR LINK ROAD 1 BHOPAL MP","11422010000197","State License","Active","2023-03-31T15:18:41.990789+02:00","2024-09-18T17:51:22.876945+02:00","fssai"
"358782432","Konkan Railway - Club_Canteen","THE HYDERABAD PUBLIC SCHOOL,BEGUMPET","1-11-87&88,SP ROAD,BEGUMPET","13624014000773","State License","Active","2024-09-11T18:13:33.97772+02:00","2024-09-18T19:20:08.996016+02:00","fssai"
"757686","Konkan Railway - Club_Canteen","INDIAN PUBLIC SCHOOL PRIVATE LIMITED","PLOT NO. 23& 24, PEERANCHERUVU, RANGAREDDY ","13623010000725","State License","Active","2023-09-27T18:07:08.014767+02:00","2024-09-18T19:19:43.445043+02:00","fssai"
"423823","Food Services - Club_Canteen","AVATAR MEHER BABA PERPETUAL PUBLIC CHARITABLE TRUST","GAT NO 24/A/1, HOSTEL D BUILDING , A/P ARANGAON ,MEHERABAD  ","11523032000152","State License","Active","2023-05-11T03:25:01.983048+02:00","2024-09-18T16:14:09.328763+02:00","fssai"
"780224","Food Services - Food Vending Establishment","VETRIVIKAS PUBLIC SCHOOL HOSTEL/BALASUBRAMANIAN C","NAMAKKAL MAINROAD,RASIPURAM TOWN,RASIPURAM(TK)","12421014000191","State License","Active","2023-03-27T02:41:35.833868+02:00","2024-05-22T16:04:27.869716+02:00","fssai"
"795137","Konkan Railway - Club_Canteen","M/S MM PUBLICATION CANTEEN","CANTEEN, XI/626, PB NO 226, KOTTAYAM","11318005000071","State License","Active","2023-03-31T22:55:32.098105+02:00","2024-09-18T19:19:36.81959+02:00","fssai"
"243319792","Konkan Railway - Club_Canteen","GURU NANAK PUBLIC SCHOOL DALHOUSIE ","BUS STOP GPO ROPAD MOTI TIBA DALHOUSIE ","10924002000024","State License","Active","2024-06-12T21:27:24.55706+02:00","2024-09-18T19:19:59.874538+02:00","fssai"
"824448","Food Services - Restaurants","M/S REGENCY PUBLIC SCHOOL","BOARDING HOUSE PLACE AND MENU REGENCY PUBLIC SCHOOL REGENCY ENCLAVE RESOURA SITAPUR","12717067000044","State License","Active","2023-03-20T04:45:43.569296+01:00","2024-09-18T15:59:35.51843+02:00","fssai"
"421606","Food Services - Caterer","ASLA PUBLIC KITCHEN ","39/24-3, KOZHIKKARA STREET, PALAKAKD ","11321009000231","State License","Active","2023-03-26T13:14:58.778869+02:00","2024-09-18T16:07:34.613838+02:00","fssai"
"810723","Konkan Railway - Caterer","STANDARD PUBLIC SCHOOL (A UNIT OF SHUBH LAXMI EDUCATIONAL SOCIETY)","KHANDWA ROAD OPP. BILAWALI TANK INDORE","11414850003031","State License","Active","2023-03-31T22:43:00.600629+02:00","2024-09-18T19:17:53.526614+02:00","fssai"
"823381","Food Services - Club_Canteen","DELHI PUBLIC SCHOOL CANTEEN ","AMBAPUR, KOBA-ADALAJ LINK ROAD, NEAR KOBA CIRCLE, DIST-GANDHINAGAR","10723009000195","State License","Active","2023-09-12T15:40:37.482676+02:00","2024-09-18T16:14:19.870462+02:00","fssai"
"912703","Konkan Railway - Food Vending Establishment","BHASHYAM  PUBLIC SCHOOL - BHASHYAM  RAMA KRISHNA ","Asst. No.1021165445, Gorantla , Guntur ","10121007000075","State License","Active","2023-03-31T19:06:09.507632+02:00","2024-09-18T19:35:45.471227+02:00","fssai"
"842360","Food Services - Restaurants","THE PUBLIC HOUSE ","MAHADEV COMMERCIAL COMPLEX LOWER GROUND  FLOOR OPP. BOARD OFFICE SHIVAJI NAGAR LINK ROAD 1 BHOPAL MP","11422010000197","State License","Active","2023-03-20T20:59:46.674389+01:00","2024-09-18T16:01:04.213202+02:00","fssai"
"48200220","Konkan Railway - Club_Canteen","M/S. DELHI PUBLIC SCHOOL GAYA","DUBHAL, PO- CHAND CHAURA, PS- MAGADH MEDICAL","10423200000285","State License","Active","2024-01-03T18:53:52.029084+01:00","2024-09-18T19:19:48.587198+02:00","fssai"
"2580454","Konkan Railway - Club_Canteen","GLOBE PHARMA PUBLICATIONS PRIVATE LIMTED (CHICAGO PIZZA)","SHOP NO 6 & 7, NEW SHANTI VAN CHSL., PLOT NO 70, NEW LINK ROAD, ANDHERI WEST,  ","11521006000176","State License","Active","2023-03-31T22:53:12.073917+02:00","2024-09-18T19:19:27.829413+02:00","fssai"
"2567638","Konkan Railway - Club_Canteen","m/s new public school","sect-18b","13013001001282","State License","Active","2023-03-31T22:52:54.822623+02:00","2024-09-18T19:19:26.092864+02:00","fssai"
"5050509","Konkan Railway - Club_Canteen","THE INDIAN PUBLIC SCHOOL - CANTEEN","A.CHOCKALINGAM,SF.NO.147/2A,PILLAIYAR NATHAM,NEAR AMMAN COLLEGE,DINDIGUL","12422006001303","State License","Active","2023-03-31T22:55:09.189904+02:00","2024-09-18T19:19:35.372965+02:00","fssai"
"6535577","Konkan Railway - Club_Canteen","CHENNAI PUBLIC SCHOOL (KUPIDISAATHAM NARAYANASWAMI EDUCATIONAL TRUST)","NO.50, THIRUVALLUR HIGH ROAD,THIRUMAZHISAI,POONAMALLEE (TK),CHENNAI - 600 124.","12417023000875","State License","Active","2023-03-31T22:47:47.862557+02:00","2024-09-18T19:20:04.516957+02:00","fssai"
"1001112","Food Services - Restaurants","INDORE PUBLIC SCHOOL","AB ROAD HUKMAKHEDI RAJENDRA NAGAR,INDORE","11422850001005","State License","Active","2023-03-31T09:28:05.810663+02:00","2024-09-18T16:01:42.223901+02:00","fssai"
